ticks = 3
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  S 267.22990 2497103 1574174978506   100   200   267.20000   267.23000
  B 267.17000 2500745 1574174982938   100   400   267.16000   267.20000
  S 267.16000 2518278 1574175008209   100   200   267.15000   267.18000
  S 267.21890 2525581 1574175019520   400   200   267.20000   267.22000
  S 267.26410 2530262 1574175027793   200   200   267.26000   267.29000
  B 267.23000 2542588 1574175046363   100   100   267.23000   267.26000
  B 267.18900 2549187 1574175054322   200   100   267.17000   267.20000
  B 267.12000 2555530 1574175068336   100   100   267.11000   267.13000
  B 267.06000 2564331 1574175074990   300   300   267.06000   267.09000
  S 267.05000 2570805 1574175082944   200   100   267.05000   267.06000
  B 267.02000 2583706 1574175090863  2300   100   267.00000   267.02000
  B 266.97000 2618568 1574175095033   100   100   266.96000   266.97000
  S 266.97430 2624306 1574175101613   200   400   266.96000   266.98000
  B 266.94620 2627276 1574175106088   300   300   266.92000   266.95000
  B 266.88000 2652557 1574175112976   100   300   266.88000   266.91000
  S 267.02000 2663021 1574175119791   200   400   267.02000   267.05000
  S 267.11000 2665956 1574175123773   200   200   267.09000   267.12000
  B 267.03000 2671599 1574175127665   200   200   267.02000   267.03000
  B 266.84800 2686458 1574175141186   100   300   266.84000   266.86000
  S 266.96100 2690948 1574175146545   300   200   266.94000   266.97000
  B 266.88000 2697268 1574175157369   200   200   266.87000   266.89000
  B 266.85000 2700282 1574175165495   100   300   266.84000   266.86000
  S 266.86000 2707196 1574175173447   200   100   266.85000   266.87000
  S 266.90000 2712956 1574175181488   200   200   266.90000   266.91000
  S 266.92990 2717009 1574175189637   300   100   266.90000   266.93000
  S 267.02000 2723988 1574175193222   300   200   267.00000   267.02000
  S 266.98000 2732977 1574175200376   100   200   266.99000   267.01000
  S 267.08000 2739177 1574175205473   400   100   267.05000   267.08000
  B 266.98340 2743031 1574175211324   400   200   266.98000   267.01000
  S 267.04000 2752219 1574175224649   300   200   267.01000   267.04000
  B 266.98000 2754051 1574175232786   100   200   266.95000   266.97000
  B 266.90050 2757725 1574175242227   400   100   266.88000   266.91000
  B 266.76000 2767420 1574175248689   100   200   266.76000   266.77000
  S 266.80000 2782093 1574175260746   100   300   266.79000   266.82000
