ticks = 3
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  S 267.04000 2752219 1574175224649   300   200   267.01000   267.04000

  B 266.98000 2754051 1574175232786   100   200   266.95000   266.97000
  S 266.80000 2782093 1574175260746   100   300   266.79000   266.82000

  B 266.80000 2791774 1574175271565   300   200   266.77000   266.81000
  S 266.82000 2802806 1574175283948   100   100   266.82000   266.82000

  B 266.79680 2810058 1574175293401   200   200   266.78000   266.82000
  S 266.88100 2830124 1574175311859   100   100   266.88000   266.89000

  B 266.94000 2848864 1574175329065   100   200   266.93000   266.95000
  S 266.99000 2852477 1574175337074   200  2000   266.96000   266.99000

  B 266.93000 2855724 1574175346448   100   300   266.89000   266.93000
  S 266.97600 2871369 1574175372026   300   200   266.97000   266.99000

  B 266.82000 2907078 1574175406933   100   200   266.81000   266.84000
  S 266.85800 2912160 1574175413594   200   200   266.85000   266.88000

  B 266.82380 2923328 1574175449805   100   200   266.80000   266.83000
  S 266.77000 2950021 1574175463499   100   100   266.77000   266.79000

  B 266.76250 2958848 1574175483815   200   200   266.76000   266.78000
  S 266.83000 3050708 1574175592168   200  1000   266.82000   266.84000

  B 266.82000 3067054 1574175602554   100   100   266.80000   266.82000
  S 266.83860 3071409 1574175610515   100   200   266.82000   266.85000

  B 266.72410 3087529 1574175633321   200   100   266.71000   266.74000
  S 266.67000 3109453 1574175653867   600   100   266.66000   266.69000

  B 266.72000 3129818 1574175696450   300   200   266.72000   266.75000
  S 266.71000 3140121 1574175716852   200   200   266.70000   266.72000

  B 266.67000 3152727 1574175746379   400   200   266.67000   266.68000
  S 266.45000 3344930 1574175862753  2500   100   266.44000   266.45000

  B 266.51000 3373980 1574175882731   300   200   266.49000   266.53000
  S 266.51000 3378872 1574175900341   100   500   266.50000   266.52000

  B 266.51000 3395785 1574175920025  1000   200   266.48000   266.51000
  S 266.52540 3448031 1574175942727   100   200   266.50000   266.54000

  B 266.62000 3480691 1574175974032   200   200   266.58000   266.63000
  S 266.62650 3508921 1574175987017   300   200   266.62000   266.66000

  B 266.68200 3527499 1574175999313   100   200   266.67000   266.71000
  S 266.73100 3547259 1574176022375   100   100   266.72000   266.74000

